airline_name,date_of_journey,month,month_name,day_of_week,is_weekend,Source,destination,route,Origin,Stop_1,Stop_2,Stop3,Total_stops,dep_time,Arrival_time,Duration,Duration_mins,Route_Type,Additional_info,Price,Price_Per_Min
Akasa Air,18-04-2023,4,April,Tuesday,No,Guwahati,Varanasi,GUW-DEL-VAR,GUW,DEL,VAR,,1 stop,00:35,03:42,3h 45min,225,Domestic_Long,New aircraft,7522,33.43
Air India,22-04-2023,4,April,Saturday,No,Mumbai,Raipur,MUM-GOA-RAI,MUM,GOA,RAI,,1 stop,06:38,19:38,11h 45min,705,Domestic_Long,1 Long layover,6893,9.78
TruJet,27-08-2023,8,August,Sunday,No,Nagpur,Chennai,NAG-LUC-JAI-CHE,NAG,LUC,JAI,CHE,2 stops,19:52,00:10,5h 0min,300,Domestic_Long,No info,9673,32.24
SpiceJet,24-08-2022,8,August,Wednesday,Yes,Patna,Jaipur,PAT-IND-JAI,PAT,IND,JAI,,1 stop,10:31,01:54,7h 30min,450,Domestic_Long,WiFi available,9300,20.67
SpiceJet,20-09-2020,9,September,Sunday,Yes,Jaipur,Mumbai,JAI-KOL-RAI-HYD-MUM,JAI,KOL,RAI,HYD,3 stops,19:47,17:49,5h 0min,300,Domestic_Long,1 Long layover,11215,37.38
SpiceJet,27-12-2024,12,December,Friday,No,Guwahati,Delhi,GUW-IND-PAT-DEL,GUW,IND,PAT,DEL,2 stops,20:03,16:50,7h 0min,420,Domestic_Long,New aircraft,11405,27.15
IndiGo,27-07-2020,7,July,Monday,No,Goa,Nagpur,GOA-NAG,GOA,NAG,,,non-stop,20:53,22:57,15h 30min,930,Domestic_Long,1 Long layover,11337,12.19
Akasa Air,25-06-2022,6,June,Saturday,No,Raipur,Goa,RAI-VAR-AHM-HYD-GOA,RAI,VAR,AHM,HYD,3 stops,20:32,22:03,7h 45min,465,Domestic_Long,1 Long layover,15145,32.57
TruJet,22-03-2022,3,March,Tuesday,No,Indore,Lucknow,IND-GOA-LUC,IND,GOA,LUC,,1 stop,09:48,02:15,7h 0min,420,Domestic_Long,Red-eye flight,9802,23.34
Akasa Air,03-01-2022,1,January,Monday,No,Patna,Ahmedabad,PAT-GOA-JAI-AHM,PAT,GOA,JAI,AHM,2 stops,08:47,02:30,9h 45min,585,Domestic_Long,Red-eye flight,15377,26.29
TruJet,20-12-2024,12,December,Friday,Yes,Indore,Jaipur,IND-JAI,IND,JAI,,,non-stop,15:19,01:51,5h 30min,330,Domestic_Long,1 Long layover,4502,13.64
SpiceJet,27-06-2020,6,June,Saturday,Yes,Patna,Bangalore,PAT-LUC-KOL-BAN,PAT,LUC,KOL,BAN,2 stops,00:21,16:08,4h 0min,240,Domestic_Long,Extra baggage allowed,10033,41.8
Akasa Air,21-01-2024,1,January,Sunday,No,Patna,Jaipur,PAT-PUN-GOA-HYD-JAI,PAT,PUN,GOA,HYD,3 stops,18:43,01:42,12h 0min,720,Domestic_Long,Extra baggage allowed,11359,15.78
Vistara,05-04-2019,4,April,Friday,No,Indore,Bangalore,IND-DEL-COC-BAN,IND,DEL,COC,BAN,2 stops,12:20,10:02,3h 15min,195,Domestic_Long,In-flight meal not included,8683,44.53
Air India,19-03-2025,3,March,Wednesday,No,Hyderabad,Pune,HYD-CHE-BHU-MUM-PUN,HYD,CHE,BHU,MUM,3 stops,03:30,20:07,15h 45min,945,Domestic_Long,Red-eye flight,9103,9.63
IndiGo,09-02-2024,2,February,Friday,No,Bhubaneswar,Goa,BHU-SUR-IND-GOA,BHU,SUR,IND,GOA,2 stops,17:48,19:34,1h 0min,60,Domestic_Short,Business class available,8269,137.82
Air India,06-08-2019,8,August,Tuesday,No,Varanasi,Pune,VAR-NAG-PUN,VAR,NAG,PUN,,1 stop,06:45,15:34,10h 30min,630,Domestic_Long,WiFi available,9993,15.86
SpiceJet,03-06-2024,6,June,Monday,Yes,Patna,Jaipur,PAT-BHU-CHE-COC-JAI,PAT,BHU,CHE,COC,3 stops,15:10,11:43,11h 15min,675,Domestic_Long,Business class available,10606,15.71
Vistara,25-12-2019,12,December,Wednesday,Yes,Delhi,Surat,DEL-NAG-SUR,DEL,NAG,SUR,,1 stop,20:41,19:37,4h 45min,285,Domestic_Long,1 Long layover,7459,26.17
SpiceJet,02-04-2020,4,April,Thursday,No,Cochin,Goa,COC-BHU-NAG-GOA,COC,BHU,NAG,GOA,2 stops,17:54,02:14,15h 30min,930,Domestic_Long,In-flight meal not included,11818,12.71
Air India,04-11-2020,11,November,Wednesday,No,Patna,Guwahati,PAT-GUW,PAT,GUW,,,non-stop,03:55,04:11,7h 15min,435,Domestic_Long,No info,2630,6.05
SpiceJet,13-05-2023,5,May,Saturday,No,Hyderabad,Lucknow,HYD-VAR-RAI-LUC,HYD,VAR,RAI,LUC,2 stops,21:00,16:00,9h 45min,585,Domestic_Long,Business class available,10879,18.6
TruJet,13-02-2024,2,February,Tuesday,No,Varanasi,Bhubaneswar,VAR-PUN-JAI-BHU,VAR,PUN,JAI,BHU,2 stops,04:41,20:36,4h 0min,240,Domestic_Long,WiFi available,4894,20.39
Alliance Air,04-02-2024,2,February,Sunday,No,Delhi,Jaipur,DEL-LUC-PAT-JAI,DEL,LUC,PAT,JAI,2 stops,15:03,04:53,9h 45min,585,Domestic_Long,WiFi available,15374,26.28
GoAir,02-08-2024,8,August,Friday,Yes,Nagpur,Kolkata,NAG-CHE-KOL,NAG,CHE,KOL,,1 stop,20:57,07:04,14h 0min,840,Domestic_Long,Business class available,9614,11.45
Alliance Air,16-03-2020,3,March,Monday,Yes,Lucknow,Pune,LUC-PUN,LUC,PUN,,,non-stop,18:36,13:49,12h 0min,720,Domestic_Long,1 Long layover,10631,14.77
GoAir,04-01-2022,1,January,Tuesday,No,Raipur,Delhi,RAI-KOL-GOA-BAN-DEL,RAI,KOL,GOA,BAN,3 stops,21:49,20:58,8h 15min,495,Domestic_Long,1 Long layover,15121,30.55
GoAir,01-12-2024,12,December,Sunday,No,Patna,Cochin,PAT-COC,PAT,COC,,,non-stop,05:16,02:51,7h 15min,435,Domestic_Long,No info,10305,23.69
Akasa Air,16-08-2023,8,August,Wednesday,No,Mumbai,Nagpur,MUM-CHE-NAG,MUM,CHE,NAG,,1 stop,15:49,09:43,9h 30min,570,Domestic_Long,In-flight meal not included,12317,21.61
Star Air,19-09-2019,9,September,Thursday,No,Pune,Hyderabad,PUN-JAI-HYD,PUN,JAI,HYD,,1 stop,17:20,01:12,2h 15min,135,Domestic_Long,Business class available,8526,63.16
GoAir,15-05-2025,5,May,Thursday,No,Cochin,Chennai,COC-JAI-KOL-CHE,COC,JAI,KOL,CHE,2 stops,14:18,19:29,7h 15min,435,Domestic_Long,1 Long layover,6334,14.56
Akasa Air,21-07-2025,7,July,Monday,Yes,Raipur,Pune,RAI-HYD-PUN,RAI,HYD,PUN,,1 stop,06:00,22:12,14h 30min,870,Domestic_Long,Extra baggage allowed,12174,13.99
IndiGo,11-06-2019,6,June,Tuesday,Yes,Indore,Chennai,IND-MUM-BHU-PUN-CHE,IND,MUM,BHU,PUN,3 stops,11:29,21:07,8h 0min,480,Domestic_Long,WiFi available,13732,28.61
TruJet,24-07-2019,7,July,Wednesday,No,Guwahati,Ahmedabad,GUW-AHM,GUW,AHM,,,non-stop,08:57,23:30,15h 30min,930,Domestic_Long,New aircraft,10483,11.27
SpiceJet,04-01-2025,1,January,Saturday,No,Nagpur,Indore,NAG-IND,NAG,IND,,,non-stop,03:06,04:49,14h 15min,855,Domestic_Long,WiFi available,5472,6.4
IndiGo,10-04-2024,4,April,Wednesday,No,Pune,Raipur,PUN-COC-DEL-RAI,PUN,COC,DEL,RAI,2 stops,11:18,03:17,12h 15min,735,Domestic_Long,No info,13996,19.04
Vistara,23-10-2022,10,October,Sunday,No,Jaipur,Guwahati,JAI-GUW,JAI,GUW,,,non-stop,04:20,03:07,3h 45min,225,Domestic_Long,Limited seats,9233,41.04
AirAsia India,18-07-2025,7,July,Friday,No,Ahmedabad,Hyderabad,AHM-PUN-HYD,AHM,PUN,HYD,,1 stop,08:49,09:36,8h 15min,495,Domestic_Long,1 Long layover,10713,21.64
Vistara,06-01-2025,1,January,Monday,Yes,Chennai,Ahmedabad,CHE-HYD-AHM,CHE,HYD,AHM,,1 stop,08:49,17:17,15h 0min,900,Domestic_Long,1 Long layover,9626,10.7
SpiceJet,19-10-2022,10,October,Wednesday,Yes,Raipur,Kolkata,RAI-JAI-CHE-GOA-KOL,RAI,JAI,CHE,GOA,3 stops,17:43,04:15,11h 30min,690,Domestic_Long,Red-eye flight,6884,9.98
GoAir,09-08-2022,8,August,Tuesday,No,Mumbai,Hyderabad,MUM-PUN-BHU-HYD,MUM,PUN,BHU,HYD,2 stops,23:43,09:35,12h 0min,720,Domestic_Long,Business class available,10022,13.92
Akasa Air,07-03-2024,3,March,Thursday,No,Cochin,Delhi,COC-GUW-BAN-DEL,COC,GUW,BAN,DEL,2 stops,09:24,12:24,11h 45min,705,Domestic_Long,New aircraft,8681,12.31
Vistara,02-03-2020,3,March,Monday,No,Raipur,Delhi,RAI-GOA-DEL,RAI,GOA,DEL,,1 stop,15:23,14:25,15h 30min,930,Domestic_Long,WiFi available,10440,11.23
IndiGo,03-09-2019,9,September,Tuesday,No,Bhubaneswar,Varanasi,BHU-COC-VAR,BHU,COC,VAR,,1 stop,07:33,21:02,14h 15min,855,Domestic_Long,Extra baggage allowed,10585,12.38
Air India,14-05-2021,5,May,Friday,No,Raipur,Delhi,RAI-GOA-VAR-DEL,RAI,GOA,VAR,DEL,2 stops,04:25,11:22,2h 15min,135,Domestic_Long,In-flight meal not included,12646,93.67
Star Air,23-09-2021,9,September,Thursday,Yes,Goa,Bhubaneswar,GOA-JAI-RAI-BHU,GOA,JAI,RAI,BHU,2 stops,07:33,07:52,12h 15min,735,Domestic_Long,1 Long layover,10282,13.99
Star Air,18-12-2025,12,December,Thursday,Yes,Ahmedabad,Varanasi,AHM-CHE-VAR,AHM,CHE,VAR,,1 stop,09:53,18:40,1h 15min,75,Domestic_Short,Business class available,11894,158.59
Air India,13-04-2023,4,April,Thursday,No,Hyderabad,Bangalore,HYD-MUM-BAN,HYD,MUM,BAN,,1 stop,00:01,20:17,11h 30min,690,Domestic_Long,In-flight meal not included,12153,17.61
Air India,20-01-2024,1,January,Saturday,No,Surat,Goa,SUR-KOL-AHM-GOA,SUR,KOL,AHM,GOA,2 stops,01:52,04:38,12h 0min,720,Domestic_Long,Limited seats,8112,11.27
GoAir,05-05-2021,5,May,Wednesday,No,Ahmedabad,Delhi,AHM-DEL,AHM,DEL,,,non-stop,06:35,01:02,11h 15min,675,Domestic_Long,Business class available,5022,7.44
SpiceJet,12-11-2024,11,November,Tuesday,No,Mumbai,Lucknow,MUM-HYD-PUN-LUC,MUM,HYD,PUN,LUC,2 stops,13:05,22:23,11h 0min,660,Domestic_Long,Limited seats,9006,13.65
Akasa Air,16-01-2021,1,January,Saturday,No,Lucknow,Kolkata,LUC-DEL-KOL,LUC,DEL,KOL,,1 stop,03:11,02:17,13h 45min,825,Domestic_Long,New aircraft,12163,14.74
Air India,18-09-2022,9,September,Sunday,Yes,Chennai,Lucknow,CHE-BHU-DEL-RAI-LUC,CHE,BHU,DEL,RAI,3 stops,21:27,08:37,10h 45min,645,Domestic_Long,1 Long layover,9317,14.44
Alliance Air,24-06-2020,6,June,Wednesday,Yes,Raipur,Patna,RAI-LUC-PAT,RAI,LUC,PAT,,1 stop,20:19,16:18,8h 45min,525,Domestic_Long,Extra baggage allowed,8324,15.86
Vistara,08-06-2021,6,June,Tuesday,No,Indore,Cochin,IND-PUN-COC,IND,PUN,COC,,1 stop,19:16,02:56,9h 30min,570,Domestic_Long,Limited seats,11660,20.46
GoAir,01-05-2022,5,May,Sunday,No,Delhi,Raipur,DEL-LUC-AHM-RAI,DEL,LUC,AHM,RAI,2 stops,20:28,05:46,8h 15min,495,Domestic_Long,Extra baggage allowed,6153,12.43
GoAir,07-10-2024,10,October,Monday,No,Varanasi,Ahmedabad,VAR-COC-BHU-AHM,VAR,COC,BHU,AHM,2 stops,05:33,20:48,3h 0min,180,Domestic_Long,Limited seats,9254,51.41
SpiceJet,16-04-2025,4,April,Wednesday,No,Mumbai,Raipur,MUM-CHE-RAI,MUM,CHE,RAI,,1 stop,11:29,14:14,11h 45min,705,Domestic_Long,No info,8439,11.97
Akasa Air,08-06-2022,6,June,Wednesday,No,Delhi,Varanasi,DEL-BHU-RAI-LUC-VAR,DEL,BHU,RAI,LUC,3 stops,00:41,15:36,2h 0min,120,Domestic_Long,Extra baggage allowed,15770,131.42
Vistara,11-06-2021,6,June,Friday,Yes,Pune,Jaipur,PUN-BAN-IND-NAG-JAI,PUN,BAN,IND,NAG,3 stops,15:01,01:33,13h 30min,810,Domestic_Long,New aircraft,11818,14.59
Vistara,18-12-2025,12,December,Thursday,Yes,Cochin,Lucknow,COC-LUC,COC,LUC,,,non-stop,01:51,03:11,4h 30min,270,Domestic_Long,Red-eye flight,7469,27.66
GoAir,11-09-2020,9,September,Friday,No,Pune,Cochin,PUN-IND-COC,PUN,IND,COC,,1 stop,13:03,15:30,6h 0min,360,Domestic_Long,Limited seats,4493,12.48
Air India,01-11-2020,11,November,Sunday,No,Delhi,Patna,DEL-IND-HYD-BHU-PAT,DEL,IND,HYD,BHU,3 stops,13:18,11:17,1h 45min,105,Domestic_Short,Limited seats,13279,126.47
SpiceJet,16-10-2023,10,October,Monday,No,Patna,Mumbai,PAT-SUR-KOL-HYD-MUM,PAT,SUR,KOL,HYD,3 stops,18:14,23:29,3h 0min,180,Domestic_Long,New aircraft,7874,43.74
Star Air,01-03-2021,3,March,Monday,No,Mumbai,Bhubaneswar,MUM-BAN-BHU,MUM,BAN,BHU,,1 stop,21:30,12:55,13h 15min,795,Domestic_Long,Red-eye flight,7589,9.55
Alliance Air,28-09-2023,9,September,Thursday,No,Guwahati,Nagpur,GUW-PAT-AHM-CHE-NAG,GUW,PAT,AHM,CHE,3 stops,15:28,17:01,14h 0min,840,Domestic_Long,No info,14186,16.89
AirAsia India,17-03-2024,3,March,Sunday,Yes,Bhubaneswar,Patna,BHU-MUM-IND-PAT,BHU,MUM,IND,PAT,2 stops,21:24,19:38,9h 15min,555,Domestic_Long,Red-eye flight,13644,24.58
TruJet,07-03-2020,3,March,Saturday,Yes,Pune,Delhi,PUN-DEL,PUN,DEL,,,non-stop,18:20,02:35,5h 0min,300,Domestic_Long,1 Long layover,3464,11.55
GoAir,04-01-2025,1,January,Saturday,No,Jaipur,Raipur,JAI-HYD-DEL-RAI,JAI,HYD,DEL,RAI,2 stops,14:16,01:43,15h 0min,900,Domestic_Long,In-flight meal not included,13559,15.07
SpiceJet,01-02-2023,2,February,Wednesday,No,Bhubaneswar,Guwahati,BHU-COC-GOA-GUW,BHU,COC,GOA,GUW,2 stops,21:02,06:42,14h 0min,840,Domestic_Long,New aircraft,13107,15.6
Akasa Air,15-06-2021,6,June,Tuesday,No,Raipur,Pune,RAI-PUN,RAI,PUN,,,non-stop,15:40,01:06,15h 30min,930,Domestic_Long,In-flight meal not included,6513,7
Alliance Air,14-12-2023,12,December,Thursday,No,Bhubaneswar,Goa,BHU-DEL-GOA,BHU,DEL,GOA,,1 stop,00:34,14:10,9h 0min,540,Domestic_Long,WiFi available,4178,7.74
Star Air,24-06-2023,6,June,Saturday,No,Surat,Kolkata,SUR-BHU-BAN-GOA-KOL,SUR,BHU,BAN,GOA,3 stops,05:11,03:27,1h 30min,90,Domestic_Short,1 Long layover,11075,123.06
SpiceJet,13-02-2025,2,February,Thursday,Yes,Surat,Chennai,SUR-PUN-RAI-BHU-CHE,SUR,PUN,RAI,BHU,3 stops,13:06,05:14,13h 15min,795,Domestic_Long,1 Long layover,15534,19.54
Akasa Air,27-01-2023,1,January,Friday,Yes,Patna,Bhubaneswar,PAT-GUW-BAN-VAR-BHU,PAT,GUW,BAN,VAR,3 stops,22:02,22:12,4h 30min,270,Domestic_Long,Business class available,9708,35.96
Alliance Air,27-02-2020,2,February,Thursday,No,Guwahati,Raipur,GUW-COC-JAI-MUM-RAI,GUW,COC,JAI,MUM,3 stops,09:42,21:26,14h 0min,840,Domestic_Long,Red-eye flight,15837,18.85
GoAir,22-04-2022,4,April,Friday,No,Kolkata,Surat,KOL-GOA-SUR,KOL,GOA,SUR,,1 stop,16:20,17:29,2h 45min,165,Domestic_Long,In-flight meal not included,5995,36.33
AirAsia India,12-12-2019,12,December,Thursday,No,Chennai,Delhi,CHE-IND-DEL,CHE,IND,DEL,,1 stop,05:53,08:45,10h 0min,600,Domestic_Long,1 Long layover,11381,18.97
Star Air,18-05-2024,5,May,Saturday,No,Chennai,Delhi,CHE-KOL-SUR-VAR-DEL,CHE,KOL,SUR,VAR,3 stops,18:38,05:19,14h 30min,870,Domestic_Long,No info,12598,14.48
GoAir,19-10-2022,10,October,Wednesday,No,Ahmedabad,Surat,AHM-JAI-GOA-MUM-SUR,AHM,JAI,GOA,MUM,3 stops,12:23,13:32,12h 45min,765,Domestic_Long,Extra baggage allowed,11196,14.64
TruJet,25-03-2019,3,March,Monday,Yes,Cochin,Mumbai,COC-MUM,COC,MUM,,,non-stop,17:17,00:28,4h 0min,240,Domestic_Long,Red-eye flight,9850,41.04
Star Air,27-09-2020,9,September,Sunday,Yes,Varanasi,Kolkata,VAR-BAN-LUC-AHM-KOL,VAR,BAN,LUC,AHM,3 stops,12:02,01:33,2h 0min,120,Domestic_Long,Business class available,14675,122.29
AirAsia India,09-10-2023,10,October,Monday,No,Bangalore,Varanasi,BAN-DEL-VAR,BAN,DEL,VAR,,1 stop,09:00,20:48,9h 0min,540,Domestic_Long,WiFi available,8748,16.2
Air India,06-07-2022,7,July,Wednesday,No,Patna,Kolkata,PAT-IND-GUW-CHE-KOL,PAT,IND,GUW,CHE,3 stops,16:07,07:54,15h 45min,945,Domestic_Long,Limited seats,7366,7.79
Akasa Air,06-04-2021,4,April,Tuesday,No,Cochin,Mumbai,COC-IND-VAR-MUM,COC,IND,VAR,MUM,2 stops,01:42,23:24,3h 15min,195,Domestic_Long,New aircraft,13377,68.6
Star Air,20-10-2022,10,October,Thursday,No,Hyderabad,Lucknow,HYD-GOA-IND-PAT-LUC,HYD,GOA,IND,PAT,3 stops,04:43,05:52,4h 15min,255,Domestic_Long,1 Long layover,7962,31.22
Alliance Air,04-08-2025,8,August,Monday,No,Patna,Indore,PAT-IND,PAT,IND,,,non-stop,22:21,06:23,15h 45min,945,Domestic_Long,Red-eye flight,3020,3.2
Alliance Air,11-08-2019,8,August,Sunday,Yes,Mumbai,Chennai,MUM-CHE,MUM,CHE,,,non-stop,16:34,12:18,7h 45min,465,Domestic_Long,No info,9918,21.33
Vistara,06-10-2023,10,October,Friday,Yes,Pune,Bhubaneswar,PUN-KOL-IND-BHU,PUN,KOL,IND,BHU,2 stops,08:13,11:29,3h 0min,180,Domestic_Long,New aircraft,12681,70.45
SpiceJet,18-05-2021,5,May,Tuesday,No,Ahmedabad,Hyderabad,AHM-HYD,AHM,HYD,,,non-stop,11:47,19:26,8h 0min,480,Domestic_Long,Limited seats,8361,17.42
TruJet,04-02-2021,2,February,Thursday,No,Guwahati,Surat,GUW-JAI-PAT-BHU-SUR,GUW,JAI,PAT,BHU,3 stops,09:19,11:19,12h 15min,735,Domestic_Long,No info,8459,11.51
Air India,11-01-2022,1,January,Tuesday,No,Bangalore,Raipur,BAN-KOL-VAR-NAG-RAI,BAN,KOL,VAR,NAG,3 stops,22:31,05:25,11h 45min,705,Domestic_Long,Business class available,11179,15.86
Vistara,21-04-2022,4,April,Thursday,No,Cochin,Patna,COC-BHU-RAI-JAI-PAT,COC,BHU,RAI,JAI,3 stops,18:03,09:04,1h 0min,60,Domestic_Short,1 Long layover,9778,162.97
GoAir,17-01-2025,1,January,Friday,No,Nagpur,Pune,NAG-SUR-PUN,NAG,SUR,PUN,,1 stop,14:18,06:49,12h 15min,735,Domestic_Long,Red-eye flight,10031,13.65
IndiGo,08-09-2022,9,September,Thursday,Yes,Pune,Ahmedabad,PUN-CHE-GOA-AHM,PUN,CHE,GOA,AHM,2 stops,11:41,13:30,5h 15min,315,Domestic_Long,1 Long layover,13649,43.33
TruJet,19-04-2022,4,April,Tuesday,Yes,Varanasi,Mumbai,VAR-MUM,VAR,MUM,,,non-stop,17:01,11:35,14h 15min,855,Domestic_Long,Red-eye flight,8146,9.53
GoAir,13-10-2023,10,October,Friday,No,Bhubaneswar,Nagpur,BHU-SUR-KOL-NAG,BHU,SUR,KOL,NAG,2 stops,14:45,05:32,5h 30min,330,Domestic_Long,In-flight meal not included,5737,17.38
Air India,21-09-2020,9,September,Monday,No,Pune,Indore,PUN-JAI-BAN-IND,PUN,JAI,BAN,IND,2 stops,09:32,02:30,1h 15min,75,Domestic_Short,1 Long layover,8555,114.07
Vistara,23-05-2023,5,May,Tuesday,No,Varanasi,Delhi,VAR-BHU-SUR-GUW-DEL,VAR,BHU,SUR,GUW,3 stops,13:01,23:55,6h 0min,360,Domestic_Long,New aircraft,14452,40.14
IndiGo,23-05-2021,5,May,Sunday,No,Bangalore,Surat,BAN-SUR,BAN,SUR,,,non-stop,14:07,03:54,11h 0min,660,Domestic_Long,1 Long layover,7029,10.65
SpiceJet,23-03-2021,3,March,Tuesday,No,Surat,Goa,SUR-AHM-PUN-GOA,SUR,AHM,PUN,GOA,2 stops,12:14,02:48,8h 30min,510,Domestic_Long,In-flight meal not included,6322,12.4
SpiceJet,18-11-2019,11,November,Monday,Yes,Surat,Raipur,SUR-GUW-RAI,SUR,GUW,RAI,,1 stop,22:59,07:18,1h 45min,105,Domestic_Short,Red-eye flight,12765,121.57
Vistara,27-01-2024,1,January,Saturday,Yes,Bhubaneswar,Lucknow,BHU-LUC,BHU,LUC,,,non-stop,04:45,13:52,15h 30min,930,Domestic_Long,Red-eye flight,8816,9.48
Air India,17-11-2020,11,November,Tuesday,No,Goa,Kolkata,GOA-KOL,GOA,KOL,,,non-stop,18:15,07:01,14h 0min,840,Domestic_Long,Red-eye flight,5863,6.98
Air India,12-06-2025,6,June,Thursday,No,Chennai,Raipur,CHE-COC-SUR-RAI,CHE,COC,SUR,RAI,2 stops,14:55,21:19,14h 15min,855,Domestic_Long,Extra baggage allowed,7725,9.04
Star Air,19-05-2024,5,May,Sunday,No,Nagpur,Patna,NAG-KOL-BAN-PAT,NAG,KOL,BAN,PAT,2 stops,07:09,23:17,4h 45min,285,Domestic_Long,New aircraft,7149,25.08
AirAsia India,22-07-2023,7,July,Saturday,No,Surat,Indore,SUR-GOA-MUM-IND,SUR,GOA,MUM,IND,2 stops,21:10,05:34,1h 0min,60,Domestic_Short,Extra baggage allowed,7620,127
TruJet,20-04-2020,4,April,Monday,No,Varanasi,Guwahati,VAR-HYD-PUN-CHE-GUW,VAR,HYD,PUN,CHE,3 stops,13:02,11:33,12h 0min,720,Domestic_Long,In-flight meal not included,13825,19.2
AirAsia India,11-04-2020,4,April,Saturday,Yes,Goa,Cochin,GOA-CHE-HYD-COC,GOA,CHE,HYD,COC,2 stops,21:05,13:29,11h 30min,690,Domestic_Long,No info,7858,11.39
TruJet,13-05-2024,5,May,Monday,Yes,Jaipur,Hyderabad,JAI-NAG-LUC-HYD,JAI,NAG,LUC,HYD,2 stops,12:23,09:17,5h 45min,345,Domestic_Long,No info,15172,43.98
Alliance Air,05-11-2024,11,November,Tuesday,No,Ahmedabad,Nagpur,AHM-NAG,AHM,NAG,,,non-stop,06:58,23:20,4h 30min,270,Domestic_Long,Red-eye flight,11519,42.66
TruJet,05-02-2025,2,February,Wednesday,No,Ahmedabad,Hyderabad,AHM-IND-HYD,AHM,IND,HYD,,1 stop,02:18,14:34,10h 0min,600,Domestic_Long,WiFi available,12554,20.92
